id,name,salary,promotion,phonenumber,datausage,subdistrict,data,call,call usage,age,date,Net Over limit,Call Over limit,STATUS
46,June Jones,18000,1090,826937178,39,ตาจั่น,50,500,318,15,3/5/2018 23:24,0,0,TX
47,Prof. Chelsey Bergstrom,25000,890,892649548,46,เปียงหลวง,30,300,49,30,13/6/2018 22:38,16,0,TX
48,Maymie Mraz,12000,590,833148555,16,บ้านโพธิ์,20,200,334,24,13/6/2018 20:36,0,134,TX
49,Ms. Ozella Hyatt III,25000,390,848845527,50,น้ำแก่น,10,100,486,33,19/11/2018 17:26,40,386,TX
50,Prof. Alexys Hackett,25000,1090,857796989,18,สำเภาล่ม,50,500,371,40,21/4/2018 03:35,0,0,TX
51,Prof. Eduardo Rosenbaum MD,15000,890,852727108,36,ท่าตุ้ม,30,300,407,24,13/1/2019 04:01,6,107,TX
52,Mrs. Jaclyn Kub,20000,390,853449538,10,เรณู,10,100,84,36,19/5/2018 23:26,0,0,TX
53,Jerod Schuppe DDS,25000,390,836430143,13,ปงน้อย,10,100,538,34,2/4/2018 23:19,3,438,TX
54,Simeon Reynolds,50000,390,854997752,21,กะไหล,10,100,495,52,15/3/2018 11:07,11,395,TX
55,Chloe Brown,50000,890,851549590,14,ดูกอึ่ง,30,300,667,48,2/6/2018 08:47,0,367,TX
56,Dr. Pierce Kassulke,20000,890,884432184,25,ท่าช้าง,30,300,162,22,23/6/2018 15:47,0,0,TX
57,Easter Lueilwitz,25000,1090,895947920,1,หนองบัวละคร,50,500,453,54,8/7/2018 00:34,0,0,OK
58,Charity Bednar,50000,390,868484948,19,ไผ่สิงห์,10,100,266,33,21/9/2018 19:26,9,166,OK
59,Gay Cole,30000,590,859688742,41,ดินอุดม,20,200,400,30,17/10/2018 03:20,21,200,TX
60,Mr. Delbert Hyatt III,25000,1090,865681341,45,นากั้ง,50,500,598,42,29/4/2018 03:00,0,98,TX
61,Maya Herman,12000,1090,847161399,2,ดงมะรุม,50,500,530,17,23/5/2018 09:23,0,30,TX
62,Prof. Mallory Streich,20000,390,887596569,28,นายาว,10,100,511,17,6/5/2018 22:39,18,411,OK
63,August Krajcik,20000,890,821397948,22,คำไฮใหญ่,30,300,700,19,13/1/2019 11:42,0,400,TX
64,Garnett Rohan,25000,890,882734689,9,หนองแวงใต้,30,300,218,31,27/11/2018 20:03,0,0,TX
65,Michael Swift,12000,1090,894575517,35,คลองตาล,50,500,600,26,19/4/2018 08:15,0,100,TX
66,Georgette Schulist,25000,1090,833503551,34,แม่นางขาว,50,500,583,42,22/8/2018 17:56,0,83,TX
67,Kole Buckridge,20000,390,857617861,13,ชัยฤทธิ์,10,100,333,48,30/6/2018 09:29,3,233,OK
68,Dr. Edwin Mitchell,18000,890,813252595,31,ห้วยขะยุง,30,300,220,29,26/6/2018 21:02,1,0,TX
69,Mrs. Tess Roberts I,25000,390,893553374,40,ม่วงงาม,10,100,586,32,12/6/2018 11:02,30,486,TX
70,Johnpaul Bauch,18000,890,815543194,10,สันทราย,30,300,687,26,10/11/2018 03:11,0,387,TX
71,Valerie Homenick,25000,1090,826575409,20,ลำดวน,50,500,724,41,4/11/2018 11:39,0,224,TX
72,Prof. Nola Turner II,15000,890,874128899,36,เหมาะ,30,300,260,15,6/8/2018 13:03,6,0,TX
73,Ms. Pamela Simonis PhD,30000,390,815071169,28,เหล่าไฮงาม,10,100,795,45,9/2/2019 16:51,18,695,TX
74,Luis Tremblay,25000,890,874852961,21,บ้านนา,30,300,256,36,18/8/2018 12:18,0,0,TX
75,Shanel Mraz,20000,1090,874050748,1,ท่าทราย,50,500,199,31,4/3/2018 07:26,0,0,OK
76,Winona Kassulke,20000,1090,832235155,26,กระออม,50,500,379,31,16/5/2018 16:07,0,0,TX
77,Jamaal Satterfield,50000,590,846978559,35,บางเขน,20,200,276,60,2/11/2018 15:11,15,76,TX
78,Annabel Feil,25000,590,839401797,36,ดงอีจาน,20,200,134,31,30/6/2018 07:17,16,0,OK
79,Kody Monahan,12000,1090,827866598,45,กระหวะ,50,500,113,24,24/1/2019 22:32,0,0,OK
80,Vickie Hahn,50000,590,848114068,12,ท่าช้าง,20,200,398,54,5/1/2019 08:39,0,198,TX
81,Donna Langworth MD,15000,1090,830482438,37,บ้านฝาง,50,500,538,25,2/2/2019 14:18,0,38,OK
82,Pinkie Schaefer,20000,590,819670771,3,อินทร์แปลง,20,200,41,33,22/8/2018 18:46,0,0,TX
83,Milton Hand,30000,390,875732205,11,หนองพระ,10,100,752,56,22/6/2018 13:28,1,652,OK
84,Kade Mayert,50000,590,844521356,35,เขาคราม,20,200,298,60,15/5/2018 04:30,15,98,TX
85,Carolyne Kunde,18000,390,823532971,50,เถินบุรี,10,100,88,22,10/10/2018 14:37,40,0,TX
86,Dedric Kuhn,30000,1090,821773717,18,หนองหว้า,50,500,554,37,2/12/2018 02:05,0,54,TX
87,Elenora Frami,18000,1090,830011019,15,สัตหีบ,50,500,281,15,18/10/2018 14:32,0,0,TX
88,Jackson Schaden,50000,890,898764813,13,ปุโรง,30,300,369,57,8/6/2018 16:40,0,69,TX
89,Prof. Davin Upton,30000,590,886064319,4,ยาบหัวนา,20,200,142,39,31/3/2018 14:32,0,0,TX
90,Otis Hettinger,12000,590,833362555,24,จุน,20,200,644,23,19/12/2018 16:37,4,444,TX
91,Prof. Victor Olson,15000,390,850932217,21,ห้วยโป่ง,10,100,591,16,23/8/2018 01:25,11,491,TX
92,Prof. Eliseo Krajcik,30000,890,888823837,43,จานแสนไชย,30,300,644,49,14/11/2018 15:41,13,344,TX
93,Dr. Kris Kuhn,30000,390,849442100,30,ท่ากระดาน,10,100,407,40,25/11/2018 05:04,20,307,OK
94,Lindsay Marks III,50000,590,866712359,34,ควนสุบรรณ,20,200,636,54,8/12/2018 16:52,14,436,OK
95,Juliet Hackett,25000,390,896928667,3,พังขว้าง,10,100,399,37,20/12/2018 14:44,0,299,TX
96,Lola Kris,20000,390,898274670,6,แม่ฮ้อยเงิน,10,100,124,36,12/6/2018 18:34,0,24,TX
97,Friedrich Klocko,30000,1090,811513117,13,ทางขวาง,50,500,449,53,18/6/2018 07:43,0,0,TX
98,Reymundo Wisozk,25000,890,817099255,27,แพรกษาใหม่,30,300,604,45,8/6/2018 19:29,0,304,OK
99,Dr. Solon Grady,50000,1090,889284677,11,ถอนสมอ,50,500,340,56,7/5/2018 11:14,0,0,TX
100,Brain Koelpin II,20000,890,877123476,15,ปัว,30,300,17,33,17/4/2018 13:22,0,0,OK
101,Polly Lockman,50000,1090,851871412,30,โนนสมบูรณ์,50,500,740,42,20/9/2018 10:26,0,240,OK
102,Itzel McClure,20000,1090,861914158,41,แสมสาร,50,500,510,22,11/11/2018 12:46,0,10,TX
103,Boyd Bergnaum DVM,50000,390,836329805,17,ปะโค,10,100,683,46,7/6/2018 11:48,7,583,OK
104,Rudolph Beatty,30000,890,878768242,15,คอนสวรรค์,30,300,800,35,31/3/2018 08:12,0,500,OK
105,Zelda Walter Jr.,25000,390,841438517,41,วังเหนือ,10,100,187,46,9/1/2019 19:16,31,87,TX
106,Mrs. Zoe Breitenberg III,30000,890,871553170,16,นาคา,30,300,171,38,13/7/2018 10:05,0,0,TX
107,Lorine Jones,20000,1090,810573694,28,ขุนแก้ว,50,500,29,50,6/6/2018 08:22,0,0,TX
108,Oral Watsica,30000,590,829187741,2,หนองช้างคืน,20,200,783,43,15/4/2018 21:19,0,583,OK
109,John Kuphal III,18000,390,881516406,33,เกาะเต่า,10,100,232,22,3/9/2018 05:33,23,132,OK
110,Cecil Johnston DDS,50000,1090,881748970,9,คลองคูณ,50,500,768,46,24/3/2018 17:29,0,268,TX
111,Mr. Alexys Abernathy,20000,890,820314116,7,บ้านสร้าง,30,300,279,36,9/1/2019 14:34,0,0,TX
112,Vilma Legros Jr.,30000,1090,810616847,37,ลาดใหญ่,50,500,17,32,31/1/2019 23:13,0,0,TX
113,Maximillia Funk,50000,590,851598399,32,วังพญา,20,200,414,52,29/1/2019 06:21,12,214,OK
114,Vergie White,25000,590,875942004,45,ปงเตา,20,200,553,39,24/12/2018 09:59,25,353,OK
115,Sylvia Blanda I,15000,890,897045731,22,บ้านแถว,30,300,74,23,14/3/2018 07:27,0,0,OK
116,Alvena Littel III,30000,390,863053821,20,กุดนกเปล้า,10,100,97,51,30/9/2018 10:55,10,0,OK
117,Destany Becker,25000,1090,838571250,4,บ้านพรุ,50,500,405,41,10/9/2018 20:07,0,0,TX
118,Mr. Griffin Nienow DDS,30000,390,871800968,10,ท่าสะท้อน,10,100,541,45,15/8/2018 20:36,0,441,TX
119,Miss Verlie McKenzie IV,15000,590,890944057,17,ห้วยร่วม,20,200,170,24,6/9/2018 19:49,0,0,TX
120,Dino Douglas Sr.,12000,890,833737383,45,บ่อถ้ำ,30,300,165,17,12/2/2018 15:38,15,0,TA
121,Howard Marvin,50000,1090,828395251,37,มหาวัน,50,500,108,51,7/11/2018 22:37,0,0,TX
122,Dr. Juvenal Larkin,30000,390,879045046,21,เวียง,10,100,414,56,27/11/2018 23:08,11,314,TX
123,Alfreda Schiller,18000,390,831816520,16,หนองบัวแดง,10,100,550,23,15/6/2018 04:09,6,450,TX
124,Ms. Maureen Kessler,15000,890,890093274,6,โคกหม้อ,30,300,643,22,9/2/2019 22:42,0,343,TX
125,Kane Mosciski,30000,590,880466320,41,สวด,20,200,500,30,16/12/2018 08:32,21,300,TX
126,Miss Charity Trantow,25000,1090,841073915,28,ไผ่ขวาง,50,500,673,44,21/8/2018 14:44,0,173,TX
127,Violet Hudson,25000,1090,850982781,50,กกโก,50,500,608,56,31/10/2018 15:09,0,108,OK
128,Mozell Stroman,50000,1090,850766656,36,หนองเต่า,50,500,635,34,5/9/2018 20:03,0,135,TX
129,Modesta Kohler Sr.,30000,1090,836016922,24,โป่งงาม,50,500,16,47,29/5/2018 16:43,0,0,TX
130,Jarvis O'Connell,50000,890,822325354,26,พิมาย,30,300,114,49,24/9/2018 15:23,0,0,TX
131,Ila Bernhard,20000,390,846612762,19,พังราด,10,100,665,15,17/11/2018 06:10,9,565,TX
132,Wilhelmine Hackett,20000,890,812392062,9,กระสัง,30,300,385,20,10/8/2018 17:58,0,85,TX
133,Elsie Hintz,25000,390,843672637,50,สาวชะโงก,10,100,276,54,1/11/2018 06:18,40,176,OK
134,Alfonzo Baumbach,20000,890,877692851,24,หนองแวง,30,300,394,20,30/3/2018 11:23,0,94,TX
135,Lucio Shanahan,30000,1090,882966203,50,เชียงม่วน,50,500,131,47,4/10/2018 23:59,0,0,OK
136,Cora Jakubowski II,25000,1090,826282703,3,ทุ่งปี้,50,500,18,46,14/5/2018 05:51,0,0,TX
137,Prof. Viviane Schiller V,50000,890,864018608,25,เวียงต้า,30,300,408,38,2/2/2019 20:19,0,108,TX
138,Bridie Gulgowski,20000,890,864149779,48,แสนสุข,30,300,168,23,21/11/2018 02:40,18,0,OK
139,Miss Mary Treutel DDS,25000,1090,885632422,44,บางน้ำจืด,50,500,716,48,16/1/2019 18:34,0,216,TX
140,Missouri Veum,12000,1090,821176573,1,กุดบาก,50,500,664,21,24/2/2018 06:07,0,164,TX
141,Carter Schinner,25000,1090,812114124,25,บางกระเจ็ด,50,500,668,42,10/6/2018 04:33,0,168,TX
142,Dr. Stanford Ferry Sr.,25000,890,876448177,30,สองสลึง,30,300,399,46,27/2/2018 05:48,0,99,TA
143,Lee Lakin,30000,390,822658990,8,โคกกลาง,10,100,687,55,10/8/2018 22:32,0,587,OK
144,Frida Reichert,20000,590,889866329,14,ทุ่งหลวง,20,200,755,53,30/3/2018 00:58,0,555,TX
145,Dr. Remington Mayer,20000,590,821221589,30,คอกควาย,20,200,334,42,28/5/2018 13:08,10,134,OK
146,Mr. Delaney Sporer Jr.,18000,1090,853064165,49,คลองจุกกระเฌอ,50,500,603,15,11/5/2018 21:10,0,103,OK
147,Jada Thiel,25000,390,823888056,18,โพธิ์ไทร,10,100,777,37,25/3/2018 16:30,8,677,TX
148,Jamarcus Lindgren,15000,590,845456069,13,ไม้ฝาด,20,200,483,22,7/5/2018 11:51,0,283,OK
149,Ludwig Koss,20000,890,880606124,2,นาบ่อคำ,30,300,508,39,26/7/2018 08:30,0,208,OK
150,Madyson Ortiz III,30000,590,891567177,29,ลานกระบือ,20,200,20,54,20/6/2018 23:40,9,0,OK
151,Miller Cummings,50000,1090,879337465,49,ในเตา,50,500,277,33,15/4/2018 18:58,0,0,TX
152,Ena Kris,25000,390,894557919,36,วังเหนือ,10,100,260,59,24/6/2018 20:38,26,160,OK
153,Duncan Jaskolski,25000,390,833560736,10,หนองหลัก,10,100,28,54,1/7/2018 21:47,0,0,TX
154,Reed Friesen,15000,390,879077180,15,นิคมสร้างตนเอง,10,100,683,17,28/2/2018 11:32,5,583,TX
155,Carolyne Baumbach III,25000,890,890423900,11,ฟ้าหยาด,30,300,352,48,7/2/2019 07:47,0,52,TA
156,Anita Mueller,50000,390,858820214,37,พิกุลทอง,10,100,586,55,27/4/2018 19:35,27,486,TX
157,Elmira Boehm,30000,890,830612021,22,ท่าทอง,30,300,435,60,19/9/2018 00:13,0,135,TX
158,Shaylee Roob,18000,1090,880599513,19,แม่อ้อ,50,500,729,24,8/1/2019 19:04,0,229,TX
159,Prof. Isaias Halvorson,20000,1090,873730110,48,คูขาด,50,500,302,58,21/4/2018 07:53,0,0,OK
160,Kelsie Brakus,30000,390,832422318,41,ตาลโกน,10,100,596,54,28/10/2018 10:57,31,496,OK
161,Mr. Joan White V,25000,590,894788124,21,หนองเสาเล้า,20,200,290,32,23/10/2018 05:35,1,90,TX
162,Lyric Kirlin II,30000,1090,833877933,29,สวี,50,500,182,33,19/2/2018 14:47,0,0,OK
163,Johann Powlowski,20000,890,826686742,22,หนองบัว,30,300,252,55,3/12/2018 00:55,0,0,TX
164,Dr. Javier Hessel IV,20000,1090,898083704,3,คลองนครเนื่องเขต,50,500,479,16,5/4/2018 08:57,0,0,TX
165,Gabe Mitchell,30000,890,881653941,18,แม่เกิ๋ง,30,300,676,33,22/5/2018 16:39,0,376,OK
166,Ms. Betty Luettgen,30000,590,849082618,38,นาโก,20,200,224,49,12/4/2018 10:23,18,24,TX
167,Dr. Breana Lueilwitz,30000,590,897510085,1,หาดทรายรี,20,200,472,58,18/7/2018 09:13,0,272,OK
168,Norval Hand,50000,890,875661283,4,โคกกระชาย,30,300,181,51,10/2/2019 02:18,0,0,TX
169,Jamil Osinski PhD,30000,890,869855603,26,ลำเลียง,30,300,758,35,17/12/2018 04:33,0,458,TX
170,Dr. Stan Connelly,50000,1090,897516728,48,หนองวัวซอ,50,500,266,59,2/5/2018 06:01,0,0,OK
171,Nico Berge DVM,20000,890,825121729,31,หนองโพธิ์,30,300,614,21,27/2/2018 22:21,1,314,TX
172,Prof. Rod Rempel III,50000,590,814460984,7,ร่มเย็น,20,200,677,49,16/11/2018 22:08,0,477,OK
173,Ms. Asa Spencer,20000,390,899826673,32,บ้านหว้า,10,100,717,41,21/3/2018 06:34,22,617,TX
174,Dr. Pinkie Shanahan IV,12000,390,852640338,16,บางหลวง,10,100,41,26,11/4/2018 23:13,6,0,TX
175,Jamel McCullough,15000,1090,827205731,29,เทศบาลนครสมุทรปราการ,50,500,638,17,1/10/2018 11:24,0,138,TX
176,Tamia Dicki DDS,30000,390,872741981,21,เขารูปช้าง,10,100,211,50,11/5/2018 16:10,11,111,TX
177,Loren Lubowitz,15000,390,885638353,34,ภารแอ่น,10,100,467,28,11/8/2018 18:46,24,367,OK
178,Ms. Loyce Langworth IV,25000,890,883722908,10,หนองม่วง,30,300,719,39,4/12/2018 09:58,0,419,TX
179,Dr. Betsy Bradtke,20000,1090,882409104,16,เสาธง,50,500,451,16,2/12/2018 11:26,0,0,TX
180,Andre Cruickshank,25000,890,841171396,25,ปากบ่อง,30,300,527,53,18/1/2019 11:03,0,227,TX
181,Reece Rempel,20000,390,843337290,45,ในวงเหนือ,10,100,417,29,28/11/2018 12:59,35,317,TX
182,Joyce Brakus PhD,20000,390,896819747,14,เนินมะกอก,10,100,20,46,21/4/2018 13:44,4,0,OK
183,Jessika Zemlak,30000,1090,859973906,43,นาดี,50,500,204,42,9/4/2018 03:23,0,0,TX
184,Margie Rice,30000,1090,834076369,38,ศาลาแดง,50,500,397,53,9/9/2018 12:16,0,0,OK
185,Miss Celia Ullrich II,25000,590,897118819,22,แก่งเลิงจาน,20,200,1,32,28/12/2018 06:54,2,0,TX
186,Ms. Eunice Keebler V,20000,590,820367222,49,บางใหญ่,20,200,323,53,17/8/2018 03:25,29,123,OK
187,Araceli Mraz,25000,390,877044281,43,ท่าวังทอง,10,100,42,51,30/12/2018 10:40,33,0,TX
188,Breanna Olson,25000,890,848435222,17,เมืองเก่า,30,300,785,40,5/4/2018 04:21,0,485,TX
189,Norene Wunsch,18000,390,826214041,37,หนองปลาไหล,10,100,336,22,1/1/2019 06:15,27,236,TX
190,Mckayla Goldner,20000,890,820067793,50,มิตรภาพ,30,300,699,17,19/5/2018 06:24,20,399,TX
191,Prof. Chandler Thiel I,20000,890,811089590,12,โคกสะอาด,30,300,333,50,1/9/2018 10:40,0,33,TX
192,Kenyon Senger DVM,30000,390,869131907,13,หนองหิน,10,100,638,45,26/6/2018 20:06,3,538,OK
193,Alexandrine Stokes,30000,890,889841628,34,บางจาน,30,300,226,59,30/1/2019 23:22,4,0,OK
194,Anabelle Cassin,15000,590,883706424,31,ทุ่งรัง,20,200,26,21,19/6/2018 02:33,11,0,TX
195,Carolyn Quigley,20000,590,845675055,46,หนองปลาไหล,20,200,506,51,29/3/2018 16:10,26,306,TX
196,Dr. Bertram Jacobs III,20000,390,821953324,9,เกาะเทโพ,10,100,730,45,12/3/2018 10:40,0,630,TX
197,Bernita Schmidt,30000,1090,871351549,48,บ้านตาด,50,500,172,51,28/12/2018 21:44,0,0,TX
198,Palma Carroll Jr.,25000,1090,878147174,15,เข็กน้อย,50,500,761,44,30/1/2019 01:51,0,261,OK
199,Melvina Schinner DDS,12000,590,812051762,5,ยางชุมน้อย,20,200,763,29,17/7/2018 10:00,0,563,TX
200,Gudrun Hodkiewicz,30000,1090,825593942,43,ตะเสะ,50,500,686,49,30/5/2018 22:01,0,186,TX
201,Prof. Hertha Muller,30000,390,882920815,20,หาดทรายรี,10,100,93,45,10/6/2018 08:39,10,0,TX
202,Ole Runte DVM,18000,390,850539509,35,บางเขน,10,100,587,18,8/3/2018 03:53,25,487,TX
203,Mariela Jaskolski,12000,390,884005921,46,บ้านหัน,10,100,593,24,27/9/2018 21:45,36,493,TX
204,Mrs. Elinore Goodwin,50000,390,862048773,16,โนนสำราญ,10,100,279,54,13/7/2018 04:27,6,179,TA
205,Miss Karolann Franecki,20000,390,865650352,36,ฟ้าหยาด,10,100,38,18,10/2/2018 22:32,26,0,TX
206,Prof. Kenton Gleichner,20000,590,885495983,46,พระเพลิง,20,200,30,21,20/12/2018 16:23,26,0,OK
207,Hoyt Armstrong,30000,590,811091911,20,แวงดง,20,200,345,46,30/4/2018 02:14,0,145,OK
208,Prof. Hadley Dare III,20000,390,827643265,9,ลำภู,10,100,593,25,25/8/2018 08:53,0,493,TX
209,Garret Heidenreich,50000,1090,890111073,21,หัวไผ่,50,500,22,38,23/7/2018 16:35,0,0,TX
210,Christop McLaughlin II,15000,590,821485309,6,เขารูปช้าง,20,200,205,16,2/12/2018 16:20,0,5,TX
211,Alek Mosciski V,25000,890,852195214,16,เทวราช,30,300,515,37,29/4/2018 01:33,0,215,TX
212,Mr. Rene Yundt,15000,890,824239506,49,บ้านหลวง,30,300,207,25,25/10/2018 20:36,19,0,TX
213,Mr. Ross Russel III,18000,390,859396615,45,หนองช้าง,10,100,503,20,20/5/2018 05:59,35,403,TA
214,Oran Jenkins,15000,890,817925248,36,เขาคราม,30,300,518,24,20/5/2018 01:12,6,218,TX
215,Winfield Wuckert I,15000,1090,898862576,4,ศรีสุข,50,500,217,20,15/10/2018 04:03,0,0,OK
216,Bryce Upton,18000,890,827886238,19,เกาะหมาก,30,300,255,29,18/11/2018 17:26,0,0,TX
217,Abigail Bashirian DDS,50000,390,859774954,1,นาผือ,10,100,305,43,11/7/2018 00:17,0,205,TX
218,Herman Feil,20000,590,882338742,3,บ้านจันทร์,20,200,432,51,19/3/2018 00:30,0,232,TX
219,Kathryne Gutmann,50000,590,830150009,18,นาเชือก,20,200,263,54,30/1/2019 12:08,0,63,OK
220,Mr. Gerardo Jacobi III,20000,590,823209241,12,เกษตรวิสัย,20,200,103,54,22/5/2018 22:42,0,0,TX
221,Mr. Dillon White,12000,1090,836351372,24,สามแยก,50,500,234,23,1/3/2018 05:16,0,0,TX
222,Bernardo Runte,50000,590,813220676,38,หนองนาแซง,20,200,207,38,15/4/2018 12:45,18,7,OK
223,Mr. Kayley Rowe I,50000,390,890179782,16,ดูนสาด,10,100,224,46,23/10/2018 15:18,6,124,TX
224,Jed Beier,30000,390,820694111,32,พังยาง,10,100,744,40,4/4/2018 18:20,22,644,TX
225,Nigel Keebler,50000,1090,825272719,28,ทรายมูล,50,500,149,48,26/8/2018 13:33,0,0,TX
226,Kennedy Jaskolski,25000,590,897261972,29,หัวนา,20,200,207,56,13/6/2018 04:53,9,7,TX
227,Dr. Blaze Feeney V,25000,390,855420832,43,บ้านต้อน,10,100,127,38,30/8/2018 10:43,33,27,TX
228,Carrie Wiza,30000,1090,811486107,18,สองคอน,50,500,690,54,16/4/2018 13:58,0,190,OK
229,Anabel Murphy DVM,30000,390,870888215,37,แสนตอ,10,100,387,55,30/11/2018 19:48,27,287,TX
230,Breana Lindgren,20000,1090,847874735,30,เกาะพระทอง,50,500,68,50,28/11/2018 22:44,0,0,TX
231,Savannah Cartwright,18000,390,818604903,42,ห้วยป่าหวาย,10,100,79,21,24/1/2019 03:08,32,0,OK
232,Isaiah Doyle,20000,890,815314271,36,นางลือ,30,300,146,16,9/1/2019 10:40,6,0,OK
233,Mrs. Elisa Terry,20000,1090,860293310,18,ไก่คำ,50,500,436,23,21/1/2019 01:49,0,0,OK
234,Rosalia Pagac,25000,390,899861817,29,น้ำตาล,10,100,121,32,25/11/2018 03:30,19,21,OK
235,Dr. Jayson Kuphal,12000,1090,886167557,6,โนนยอ,50,500,616,26,8/12/2018 19:04,0,116,TX
236,Ransom Heaney Jr.,20000,590,836617316,40,หนองวัวซอ,20,200,618,42,30/3/2018 13:44,20,418,TX
